case,geometry,noise,model,arm,n_fit,n_hold,failed_prices,price_bound_violations,invalid_iv_pairs,price_rmse_spot,iv_rmse,z_mae,z_max_error,parameter_gate,price_gate,seconds,truth_quadrature_max_difference,predicted_quadrature_max_difference,failed_parameter_case
905101_01,rich,0.01,seed_17/repaired,encoder,60,30,0,0,0,0.0006628415097401202,0.0021652828682388195,0.4443195610010493,1.3465480955114848,False,False,0.004958500001521315,1.0436096431476471e-14,9.159339953157541e-15,False
905101_01,rich,0.01,seed_17/repaired,refined,60,30,0,0,0,8.01118662773509e-05,0.0004796959926446427,0.5090068880385625,1.27027051545586,False,False,0.3464624160042149,1.0436096431476471e-14,9.769962616701378e-15,False
905101_01,rich,0.01,seed_29/repaired,encoder,60,30,0,0,0,0.000489596337579689,0.004064106837776589,0.44689547089446213,1.3610426235164679,False,False,0.005502332998730708,1.0436096431476471e-14,9.769962616701378e-15,False
905101_01,rich,0.01,seed_29/repaired,refined,60,30,0,0,0,9.518783219972861e-05,0.0005191463467216107,0.4994282102379858,1.25219260966723,False,False,0.3498033750001923,1.0436096431476471e-14,9.381384558082573e-15,False
905101_01,rich,0.01,seed_43/repaired,encoder,60,30,0,0,0,0.0005771377714564438,0.001959924913065569,0.4415411805080914,1.3458512471812207,False,False,0.004639749997295439,1.0436096431476471e-14,9.43689570931383e-15,False
905101_01,rich,0.01,seed_43/repaired,refined,60,30,0,0,0,8.085120134607352e-05,0.0004833706144005709,0.5064354029755108,1.2571028765519623,False,False,0.3446155420024297,1.0436096431476471e-14,9.381384558082573e-15,False
905101_01,rich,0.01,seed_43/repaired,hybrid_polish,60,30,0,0,0,0.00015221124248576004,0.000466808333460702,6.763264680518262,19.92887512196708,False,False,11.117072917004407,1.0436096431476471e-14,9.547918011776346e-15,False
905101_01,single_expiry,0.0,unified_v6/unified,encoder,10,5,0,0,0,0.00034575003202466826,0.002896168784239231,0.48808837891296575,1.4687031537564739,False,False,0.00457608300348511,7.882583474838611e-15,7.632783294297951e-15,False
905101_01,single_expiry,0.0,unified_v6/unified,refined,10,5,0,0,0,2.8533690516711837e-07,2.743489934030999e-06,0.48742756352427136,1.3996280815802136,False,True,0.3083649160034838,7.882583474838611e-15,7.563394355258879e-15,False
905101_01,single_expiry,0.0,seed_17/repaired,encoder,10,5,0,0,0,0.00027507932536869955,0.001935271163190668,0.4721756991719361,1.4685960523895158,False,False,0.0037496660006581806,7.882583474838611e-15,7.66053886991358e-15,False
905101_01,single_expiry,0.0,seed_17/repaired,refined,10,5,0,0,0,1.7817894501554568e-07,1.786459524735226e-06,0.48521877882147396,1.384504728865967,False,True,0.3093757500028005,7.882583474838611e-15,7.743805596760467e-15,False
905101_01,single_expiry,0.0,seed_29/repaired,encoder,10,5,0,0,0,0.0002132852379909367,0.0018911224449087818,0.4718182625094306,1.5022149825663935,False,False,0.004114791001484264,7.882583474838611e-15,7.514822097931528e-15,False
905101_01,single_expiry,0.0,seed_29/repaired,refined,10,5,0,0,0,7.714696001383964e-07,7.533700635715894e-06,0.4815208523567982,1.429256219283252,False,True,0.3113288329986972,7.882583474838611e-15,7.667477763817487e-15,False
905101_01,single_expiry,0.0,seed_43/repaired,encoder,10,5,0,0,0,0.000134046572253468,0.0009424415387012841,0.47671326908491984,1.4769532931480607,False,False,0.0036602500040316954,7.882583474838611e-15,7.431555371084642e-15,False
905101_01,single_expiry,0.0,seed_43/repaired,refined,10,5,0,0,0,5.382334401803038e-06,4.8636414738494314e-05,0.48719004677574124,1.4001349798574252,False,False,0.3154564170035883,7.882583474838611e-15,7.806255641895632e-15,False
905101_01,single_expiry,0.0,seed_43/repaired,hybrid_polish,10,5,0,0,0,1.026052617529589e-09,1.7006855556493776e-08,0.453545602095368,1.170744991293532,False,True,9.671205542006646,7.882583474838611e-15,7.764622278472189e-15,False
905101_01,single_expiry,0.01,unified_v6/unified,encoder,10,5,0,0,0,0.00010791379985255162,0.001165868702506924,0.4853373768848089,1.4647604266617846,False,False,0.003256333999161143,7.882583474838611e-15,7.424616477180734e-15,False
905101_01,single_expiry,0.01,unified_v6/unified,refined,10,5,0,0,0,7.21375817117109e-05,0.0009438026124347651,0.47833530447283834,1.5050794848588744,False,False,0.29959295900334837,7.882583474838611e-15,7.61196661258623e-15,False
905101_01,single_expiry,0.01,seed_17/repaired,encoder,10,5,0,0,0,0.0002810613217379329,0.0019403588352342447,0.46507556478132167,1.4670113921146668,False,False,0.003332583997689653,7.882583474838611e-15,7.646661082105766e-15,False
905101_01,single_expiry,0.01,seed_17/repaired,refined,10,5,0,0,0,7.090373249641432e-05,0.0009209249226066884,0.4718197942526413,1.4829320738838967,False,False,0.3039235840042238,7.882583474838611e-15,7.625844400394044e-15,False
905101_01,single_expiry,0.01,seed_29/repaired,encoder,10,5,0,0,0,9.519576374585046e-05,0.0010272974805705752,0.46575847431568523,1.4921035425897105,False,False,0.0041087079953285865,7.882583474838611e-15,7.605027718682322e-15,False
905101_01,single_expiry,0.01,seed_29/repaired,refined,10,5,0,0,0,7.575520100219985e-05,0.0009836629937756867,0.4726701549042329,1.5089787416226685,False,False,0.3053971669942257,7.882583474838611e-15,7.625844400394044e-15,False
905101_01,single_expiry,0.01,seed_43/repaired,encoder,10,5,0,0,0,0.00018445789507728422,0.0012260953334149608,0.4693850821481327,1.472601484240652,False,False,0.003983374997915234,7.882583474838611e-15,7.820133429703446e-15,False
905101_01,single_expiry,0.01,seed_43/repaired,refined,10,5,0,0,0,7.485504086030012e-05,0.0009738067955933513,0.4777462366448484,1.4863744225960773,False,False,0.3101024999996298,7.882583474838611e-15,7.556455461354972e-15,False
905101_01,single_expiry,0.01,seed_43/repaired,hybrid_polish,10,5,0,0,0,0.0002095218692891234,0.003037929647878599,3.40037372744453,9.659413739418437,False,False,16.920134207997762,7.882583474838611e-15,7.688294445529209e-15,False
905101_02,rich,0.0,unified_v6/unified,encoder,60,30,0,0,0,0.0019847202656108898,0.012449383684587704,0.7899141471661203,2.2601573599857088,False,False,0.004808750003576279,9.2148511043888e-15,8.254681660435637e-15,False
905101_02,rich,0.0,unified_v6/unified,refined,60,30,0,0,0,0.001406843830830938,0.007895893223217073,0.4381222188250714,1.3244763025638164,False,False,0.33141450000402983,9.2148511043888e-15,8.210358120371714e-15,False
