condition,case,model,parameter,true,estimated,absolute_error
Clean,7,Unregularized matched PINN,theta_s,0.01197232193892187,0.008995759120707755,0.002976562818214115
Clean,7,Unregularized matched PINN,sigma_s,0.04051372282993217,0.04851935303293811,0.008005630203005945
Clean,7,Unregularized matched PINN,rho_s,-0.6540467560010492,-0.57699693590023,0.07704982010081918
Clean,7,Unregularized matched PINN,v0_s,0.11396125774424556,0.11055872319110355,0.003402534553142017
Clean,7,Unregularized matched PINN,kappa_f,7.520550212518103,7.407511102181883,0.11303911033621983
Clean,7,Unregularized matched PINN,theta_f,0.02792726759433518,0.030876040624922066,0.0029487730305868855
Clean,7,Unregularized matched PINN,sigma_f,0.16718612756774598,0.12155024133807958,0.0456358862296664
Clean,7,Unregularized matched PINN,rho_f,0.10456066494967098,0.1854072012492114,0.08084653629954042
Clean,7,Unregularized matched PINN,v0_f,0.08304758995657621,0.08628408654072828,0.0032364965841520654
Clean,7,Selected regularized PINN,kappa_s,0.9076180612997954,0.903430044575989,0.00418801672380642
Clean,7,Selected regularized PINN,theta_s,0.01197232193892187,0.010457326219459892,0.0015149957194619777
Clean,7,Selected regularized PINN,sigma_s,0.04051372282993217,0.05685707711931535,0.01634335428938318
Clean,7,Selected regularized PINN,rho_s,-0.6540467560010492,-0.4787641659753746,0.17528259002567464
Clean,7,Selected regularized PINN,v0_s,0.11396125774424556,0.11208808480187041,0.0018731729423751564
Clean,7,Selected regularized PINN,kappa_f,7.520550212518103,7.433198737891187,0.0873514746269155
Clean,7,Selected regularized PINN,theta_f,0.02792726759433518,0.029483263928052058,0.0015559963337168775
Clean,7,Selected regularized PINN,sigma_f,0.16718612756774598,0.13381971647501203,0.033366411092733944
Clean,7,Selected regularized PINN,rho_f,0.10456066494967098,0.15866919818536573,0.054108533235694756
Clean,7,Selected regularized PINN,v0_f,0.08304758995657621,0.08475232749935044,0.0017047375427742262
Clean,8,Original Double Heston,kappa_s,2.0267781120115806,2.1432655731792525,0.11648746116767184
Clean,8,Original Double Heston,theta_s,0.0472506100373222,0.037708817618121365,0.009541792419200834
Clean,8,Original Double Heston,sigma_s,0.19549279423419144,0.22073041602321958,0.025237621789028136
Clean,8,Original Double Heston,rho_s,0.08372955837867135,0.08261236466678812,0.0011171937118832354
