symbol,trade_date,kappa,theta,sigma,rho,v0,objective,optimizer_evaluations,starting_value_loss_spread,calibration_rows,holdout_rows,calibration_iv_rmse,holdout_iv_rmse,feller_gap
NTPC,2024-07-25,9.996663266068168,0.11940638018933163,1.5368612451656705,-0.0807917142512928,0.12263349979007664,2.1298601727881313e-05,22,4.1115555513178415e-12,13,6,0.011275614154760472,0.008859230393925955,0.025388262253547733
NTPC,2024-08-02,9.996663266068168,0.11940638018933163,1.5368612451656705,-0.0807917142512928,0.040944952968644914,2.1298601727881313e-05,22,4.1115555513178415e-12,17,9,0.014398029597008245,0.01500494108943222,0.025388262253547733
NTPC,2024-08-12,9.996663266068168,0.11940638018933163,1.5368612451656705,-0.0807917142512928,0.05806807005634895,2.1298601727881313e-05,22,4.1115555513178415e-12,19,9,0.043123884061566586,0.03026190493825051,0.025388262253547733
NTPC,2024-08-21,9.996663266068168,0.11940638018933163,1.5368612451656705,-0.0807917142512928,0.03655349381316094,2.1298601727881313e-05,22,4.1115555513178415e-12,16,8,0.0665380364414192,0.03555360275550056,0.025388262253547733
NTPC,2024-08-29,9.996663266068168,0.11940638018933163,1.5368612451656705,-0.0807917142512928,0.059041503607769795,2.1298601727881313e-05,22,4.1115555513178415e-12,11,5,0.01685923668007594,0.005502491396449348,0.025388262253547733
NTPC,2024-09-06,9.996663266068168,0.11940638018933163,1.5368612451656705,-0.0807917142512928,0.0723756292843434,2.1298601727881313e-05,22,4.1115555513178415e-12,12,6,0.022086559476856043,0.015043005966617184,0.025388262253547733
NTPC,2024-09-24,9.996663266068168,0.11940638018933163,1.5368612451656705,-0.0807917142512928,0.0668761304786217,2.1298601727881313e-05,22,4.1115555513178415e-12,10,5,0.015339359234724076,0.007202416368697198,0.025388262253547733
NTPC,2024-10-04,9.996663266068168,0.11940638018933163,1.5368612451656705,-0.0807917142512928,0.032917087823162834,2.1298601727881313e-05,22,4.1115555513178415e-12,14,7,0.018146504030991783,0.016484505705279488,0.025388262253547733
NTPC,2024-10-14,9.996663266068168,0.11940638018933163,1.5368612451656705,-0.0807917142512928,0.028592101130162823,2.1298601727881313e-05,22,4.1115555513178415e-12,9,4,0.04103302701570504,0.004551379983175335,0.025388262253547733
NTPC,2024-10-30,9.996663266068168,0.11940638018933163,1.5368612451656705,-0.0807917142512928,0.09326147471643391,2.1298601727881313e-05,22,4.1115555513178415e-12,9,4,0.010707386267475166,0.00845180235652443,0.025388262253547733
NTPC,2024-11-07,9.996663266068168,0.11940638018933163,1.5368612451656705,-0.0807917142512928,0.0432551669821632,2.1298601727881313e-05,22,4.1115555513178415e-12,9,4,0.011771785836932343,0.014108836885027768,0.025388262253547733
POWERGRID,2024-07-08,9.996663266030518,0.1554600168265472,1.7535983606556598,-0.11427445278920254,0.05326264874925444,1.4469443979789653e-05,23,2.1156038128766676e-10,14,7,0.00831650639248841,0.0038483555015939126,0.03305566859864406
POWERGRID,2024-07-25,9.996663266030518,0.1554600168265472,1.7535983606556598,-0.11427445278920254,0.05041390362180126,1.4469443979789653e-05,23,2.1156038128766676e-10,11,6,0.007224663005872692,0.008332426029277315,0.03305566859864406
POWERGRID,2024-08-29,9.996663266030518,0.1554600168265472,1.7535983606556598,-0.11427445278920254,0.025446174368410006,1.4469443979789653e-05,23,2.1156038128766676e-10,9,4,0.008651600622718353,0.004858255316756053,0.03305566859864406
POWERGRID,2024-09-06,9.996663266030518,0.1554600168265472,1.7535983606556598,-0.11427445278920254,0.031368698341806604,1.4469443979789653e-05,23,2.1156038128766676e-10,9,4,0.00421358362564898,0.0037679769584887516,0.03305566859864406
POWERGRID,2024-09-16,9.996663266030518,0.1554600168265472,1.7535983606556598,-0.11427445278920254,0.03125273660691221,1.4469443979789653e-05,23,2.1156038128766676e-10,7,4,0.04485251980055272,0.04128060445752085,0.03305566859864406
POWERGRID,2024-09-24,9.996663266030518,0.1554600168265472,1.7535983606556598,-0.11427445278920254,0.0072303315670465464,1.4469443979789653e-05,23,2.1156038128766676e-10,8,4,0.008664674718086265,0.0077079876649173845,0.03305566859864406
POWERGRID,2024-10-04,9.996663266030518,0.1554600168265472,1.7535983606556598,-0.11427445278920254,0.030249924273240213,1.4469443979789653e-05,23,2.1156038128766676e-10,11,6,0.009715847690304967,0.012621304354151973,0.03305566859864406
POWERGRID,2024-11-07,9.996663266030518,0.1554600168265472,1.7535983606556598,-0.11427445278920254,0.03386818245988279,1.4469443979789653e-05,23,2.1156038128766676e-10,9,5,0.00852915408774911,0.036772412227305984,0.03305566859864406
POWERGRID,2024-11-27,9.996663266030518,0.1554600168265472,1.7535983606556598,-0.11427445278920254,0.01594518991544789,1.4469443979789653e-05,23,2.1156038128766676e-10,11,5,0.012859960064998788,0.004862568726982473,0.03305566859864406
POWERGRID,2024-12-05,9.996663266030518,0.1554600168265472,1.7535983606556598,-0.11427445278920254,0.02850669262615531,1.4469443979789653e-05,23,2.1156038128766676e-10,9,5,0.007993923619388681,0.009352524756110956,0.03305566859864406
POWERGRID,2024-12-13,9.996663266030518,0.1554600168265472,1.7535983606556598,-0.11427445278920254,0.027405799762644303,1.4469443979789653e-05,23,2.1156038128766676e-10,10,5,0.02749179434225052,0.02371110541391143,0.03305566859864406
POWERGRID,2024-12-23,9.996663266030518,0.1554600168265472,1.7535983606556598,-0.11427445278920254,0.005333673379814146,1.4469443979789653e-05,23,2.1156038128766676e-10,9,5,0.005938834280148285,0.017523768766693874,0.03305566859864406
SJVN,2025-01-13,9.99644326140275,0.4340510494611402,2.9301244641319073,-0.0017378173719982259,0.17854447930805734,4.7825256018588054e-05,55,1.7491508862523854e-10,9,4,0.0682421630572562,0.047970701489578806,0.09230400167691677
SJVN,2025-03-10,9.99644326140275,0.4340510494611402,2.9301244641319073,-0.0017378173719982259,0.13530445686432566,4.7825256018588054e-05,55,1.7491508862523854e-10,6,3,0.037772275569978725,0.026779481916617186,0.09230400167691677
SJVN,2025-04-04,9.99644326140275,0.4340510494611402,2.9301244641319073,-0.0017378173719982259,0.11965186058989193,4.7825256018588054e-05,55,1.7491508862523854e-10,9,5,0.02912807298085668,0.01754489352642162,0.09230400167691677
SJVN,2025-04-30,9.99644326140275,0.4340510494611402,2.9301244641319073,-0.0017378173719982259,0.16622267519745687,4.7825256018588054e-05,55,1.7491508862523854e-10,11,6,0.01958451671283327,0.024414689008711098,0.09230400167691677
SJVN,2025-05-05,9.99644326140275,0.4340510494611402,2.9301244641319073,-0.0017378173719982259,0.11083280346951822,4.7825256018588054e-05,55,1.7491508862523854e-10,12,6,0.009354627249582482,0.009662513866173249,0.09230400167691677
SJVN,2025-05-07,9.99644326140275,0.4340510494611402,2.9301244641319073,-0.0017378173719982259,0.11987581109045593,4.7825256018588054e-05,55,1.7491508862523854e-10,11,5,0.01145941577513651,0.008289105825305421,0.09230400167691677
SJVN,2025-05-16,9.99644326140275,0.4340510494611402,2.9301244641319073,-0.0017378173719982259,0.17371994869821294,4.7825256018588054e-05,55,1.7491508862523854e-10,16,8,0.012396940678034523,0.007751326260285223,0.09230400167691677
SJVN,2025-05-20,9.99644326140275,0.4340510494611402,2.9301244641319073,-0.0017378173719982259,0.17072196395671038,4.7825256018588054e-05,55,1.7491508862523854e-10,12,6,0.017046148312268708,0.01720135609058518,0.09230400167691677
SJVN,2025-06-04,9.99644326140275,0.4340510494611402,2.9301244641319073,-0.0017378173719982259,0.056732661183247594,4.7825256018588054e-05,55,1.7491508862523854e-10,6,3,0.00524120001956935,0.0048560539452483335,0.09230400167691677
SJVN,2024-12-31,9.99644326140275,0.4340510494611402,2.9301244641319073,-0.0017378173719982259,0.005333673379814146,4.7825256018588054e-05,55,1.7491508862523854e-10,7,3,0.006330961452249836,0.007070146726114048,0.09230400167691677
SJVN,2025-01-02,9.99644326140275,0.4340510494611402,2.9301244641319073,-0.0017378173719982259,0.03126361936327239,4.7825256018588054e-05,55,1.7491508862523854e-10,8,4,0.0042175989711130115,0.003591837258921858,0.09230400167691677
