dimension,group,model,rows,iv_rmse,iv_mae,iv_bias,pooled_iv_r2,within_surface_centered_r2,mean_surface_iv_rmse,median_surface_iv_rmse
symbol,POWERGRID,heston_train_half_a,668,0.026771058135693856,0.01798410217770705,0.007638451058839594,0.5521744781316504,0.6885006494406616,0.020984103985823507,0.014493473406584984
symbol,POWERGRID,heston_train_half_b,668,0.018426583022124705,0.01059173031975927,0.00031981524267869614,0.7878381064595739,0.6797902309539263,0.013747297637383755,0.010587008844983727
symbol,SJVN,heston_same_day_v0,96,0.03255552926879347,0.01681098859627623,-0.004557401776352871,0.6395085859485561,0.5653982312321693,0.02364953847139602,0.01795851979399712
symbol,SJVN,flat_anchor_iv,96,0.04787288232339728,0.02869866557603129,-0.008950467060049287,0.22048485508149007,-0.0015704075688629526,0.03897472607864883,0.026314440771904347
symbol,SJVN,quadratic_anchor_smile,96,0.028112791212038933,0.01198478802700799,0.003916658345918173,0.7311850987604375,0.693527472027785,0.01892593534585797,0.011563334542007989
symbol,SJVN,heston_training_median_v0,96,0.057934857534409294,0.05171040185872563,0.041499953261781776,-0.14162978678703908,0.49004141321685524,0.059290098163014525,0.05488531495948516
symbol,SJVN,heston_prior_available_v0,83,0.05281166103097268,0.0369532168731785,-0.004172505428600935,0.13339711730421233,0.3714093990600439,0.04126770189068048,0.026718357880670708
symbol,SJVN,heston_shuffled_v0,96,0.0542154060164982,0.03530795530828562,-0.005372399060925264,0.00025133239875085867,0.06014414202110452,0.04063204737455033,0.02902775098836216
symbol,SJVN,heston_train_half_a,96,0.03285972179696524,0.01664579607428003,-0.004596814807467064,0.6327403894354418,0.5588199145188872,0.023584389672132704,0.01719146135659124
symbol,SJVN,heston_train_half_b,96,0.03171611570481075,0.016633780392623126,-0.004195310796720447,0.6578587859904446,0.5843990356690754,0.02342698443098895,0.0180730621959605
symbol,TATAPOWER,heston_same_day_v0,1126,0.03284562955490051,0.017645168783126698,-0.007293135107457683,0.6732487027274885,0.6234997708481906,0.02745841720280072,0.020833019228074273
symbol,TATAPOWER,flat_anchor_iv,1126,0.04619806847342559,0.026623023873120807,-0.013188887187880435,0.3535874552867241,-0.011569744611001465,0.038492863732477345,0.030028824355934444
symbol,TATAPOWER,quadratic_anchor_smile,1126,0.011411892842465833,0.006290877238413409,0.0004092489581573889,0.9605563124800753,0.9332921045827902,0.009808397509129211,0.006769399005650462
