spot,strike,tau,rate,dividend,call_price,pinn_price,absolute_error
100.0,81.91176470588235,1.45,0.03,0.01,22.069217438444326,22.07240315095075,0.003185712506422078
100.0,86.76470588235294,1.45,0.03,0.01,18.538173667087356,18.541475893603184,0.0033022265158280106
100.0,91.61764705882354,1.45,0.03,0.01,15.36740872943519,15.37186510455647,0.004456375121279166
100.0,96.47058823529412,1.45,0.03,0.01,12.576718193792708,12.582632410924766,0.005914217132058752
100.0,101.3235294117647,1.45,0.03,0.01,10.167581984254937,10.173841454803718,0.006259470548780399
100.0,106.17647058823529,1.45,0.03,0.01,8.1255181853098,8.129620292849793,0.004102107539992517
100.0,111.02941176470588,1.45,0.03,0.01,6.423861837895863,6.4235851968730655,0.0002766410227978966
100.0,115.88235294117646,1.45,0.03,0.01,5.0280044718873675,5.023989793288465,0.004014678598902144
100.0,120.73529411764706,1.45,0.03,0.01,3.899367962838223,3.8955316125584507,0.0038363502797724713
100.0,125.58823529411765,1.45,0.03,0.01,2.9986815108048077,2.9983573226965294,0.00032418810827827826
100.0,130.44117647058823,1.45,0.03,0.01,2.2883917017908644,2.289979891366055,0.0015881895751905795
100.0,135.2941176470588,1.45,0.03,0.01,1.7342222984713072,1.7317651670528318,0.0024571314184753668
100.0,140.1470588235294,1.45,0.03,0.01,1.3060084327247719,1.2929940376169151,0.013014395107856735
100.0,145.0,1.45,0.03,0.01,0.9779740946516462,0.9499050781456299,0.028069016506016342
100.0,62.5,1.75,0.03,0.01,39.178601501359815,39.12007593781268,0.05852556354713556
100.0,67.3529411764706,1.75,0.03,0.01,34.81223963242659,34.808401722605694,0.003837909820894936
100.0,72.20588235294117,1.75,0.03,0.01,30.60999510239592,30.61842646404766,0.008431361651737745
100.0,77.05882352941177,1.75,0.03,0.01,26.626165771663487,26.631618314175956,0.005452542512468739
100.0,81.91176470588235,1.75,0.03,0.01,22.91068899613839,22.9104224206642,0.000266575474189068
100.0,86.76470588235294,1.75,0.03,0.01,19.503614327792064,19.499704183497883,0.00391014429418135
100.0,91.61764705882354,1.75,0.03,0.01,16.43157697859281,16.427024319498678,0.004552659094130718
100.0,96.47058823529412,1.75,0.03,0.01,13.706554901873638,13.703178724432991,0.003376177440646444
100.0,101.3235294117647,1.75,0.03,0.01,11.32662026026646,11.324004512131678,0.0026157481347812706
100.0,106.17647058823529,1.75,0.03,0.01,9.278086066969443,9.273722328721368,0.004363738248075677
100.0,111.02941176470588,1.75,0.03,0.01,7.538381552095537,7.529270339327248,0.00911121276828819
100.0,115.88235294117646,1.75,0.03,0.01,6.079083776523948,6.064343985634537,0.014739790889411353
