S,tau_days,C_BS,C_SH,C_DH,C_PINN,SH_minus_DH,BS_minus_DH,PINN_minus_DH,advantage
84.78260869565217,7.487686885170823,1.165306221912113e-09,3.837220396502151e-11,-1.9871785376633112e-12,4.8541158928431194e-12,4.035938250268482e-11,1.1672934004497764e-09,6.841294430506431e-12,3.351808807217839e-11
85.65217391304348,7.487686885170823,1.0101772587328285e-08,5.484199809256148e-10,-1.6236046323817094e-12,9.541491236746804e-12,5.500435855579964e-10,1.0103396191960666e-08,1.1165095869128513e-11,5.388784896888679e-10
86.52173913043478,7.487686885170823,7.58939169536917e-08,6.2404032665970004e-09,1.1190758464824366e-11,3.1692940153520844e-11,6.229212508132176e-09,7.588272619522687e-08,2.0502181688696476e-11,6.20871032644348e-09
87.3913043478261,7.487686885170823,4.965372972876289e-07,5.925428336401e-08,4.2959722735680527e-10,4.5685626932194366e-10,5.8824686136653193e-08,4.961077000602721e-07,2.725904196513839e-11,5.8797427094688054e-08
88.26086956521739,7.487686885170823,2.8423900268076596e-06,4.7358614829256835e-07,1.0103024021244454e-08,1.0061782536437277e-08,4.634831242713239e-07,2.832287002786415e-06,-4.1241484807176395e-11,4.634418827865167e-07
89.13043478260869,7.487686885170823,1.4303092768849709e-05,3.2064955405839158e-06,1.6937180052186807e-07,1.7092661288712103e-07,3.0371237400620475e-06,1.4133720968327841e-05,1.5548123652529643e-09,3.0355689276967945e-06
90.0,7.487686885170823,6.35629444120005e-05,1.850958688098807e-05,2.068288793566302e-06,2.1016912209715015e-06,1.6441298087421768e-05,6.149465561843421e-05,3.340242740519937e-08,1.640789566001657e-05
90.86956521739131,7.487686885170823,0.0002506197157621382,9.169659641947099e-05,1.878328276341929e-05,1.9134151695967267e-05,7.29133136560517e-05,0.0002318364329987189,3.508689325479768e-07,7.256244472350372e-05
91.73913043478261,7.487686885170823,0.0008808071234817895,0.0003924960276283723,0.0001297507183273018,0.00013208366395126546,0.0002627453093010705,0.0007510564051544877,2.332945623963645e-06,0.00026041236367710683
92.6086956521739,7.487686885170823,0.0027722900238392567,0.0014616983153169026,0.0006981246959477037,0.0007081711779528148,0.0007635736193691989,0.002074165327891553,1.0046482005111055e-05,0.0007535271373640878
93.47826086956522,7.487686885170823,0.007851663039228251,0.004769980494956789,0.0029973289414381063,0.003025825549383639,0.0017726515535186828,0.004854334097790144,2.8496607945532708e-05,0.00174415494557315
94.34782608695652,7.487686885170823,0.020108198183193177,0.013740151608751925,0.01051667969853649,0.010572538392812462,0.0032234719102154346,0.009591518484656687,5.5858694275972426e-05,0.003167613215939462
95.21739130434783,7.487686885170823,0.04680188537382056,0.0352005566877726,0.030856265712232284,0.030942150132613574,0.004344290975540312,0.015945619661588275,8.588442038129016e-05,0.004258406555159022
96.08695652173913,7.487686885170823,0.09951891423862941,0.08082551683515984,0.07736322648432761,0.07748985024285115,0.003462290350832231,0.022155687754301795,0.0001266237585235419,0.0033356665923086892
96.95652173913044,7.487686885170823,0.1943890501284612,0.16766361843064953,0.16911223776445436,0.16929773813095722,-0.0014486193338048292,0.025276812364006834,0.00018550036650286095,0.0012631189673019683
97.82608695652173,7.487686885170823,0.3507873492791941,0.31678231705185916,0.32828611502397353,0.3285387528182707,-0.011503797972114371,0.022501234255220548,0.0002526377942971836,0.011251160177817188
98.69565217391305,7.487686885170823,0.5883286850409507,0.5497113249106351,0.5754528680642678,0.5758179336170788,-0.02574154315363264,0.012875816976682941,0.00036506555281101694,0.025376477600821623
99.56521739130434,7.487686885170823,0.9228049891616303,0.8835629061349553,0.92461092327788,0.9250822991223291,-0.04104801714292472,-0.00180593411624963,0.00047137584444911784,0.0405766412984756
100.43478260869566,7.487686885170823,1.362440161879052,1.3266819281596662,1.3800920293237058,1.3803870798487996,-0.05341010116403955,-0.017651867444653746,0.0002950505250938207,0.05311505063894573
101.30434782608695,7.487686885170823,1.9059234455089902,1.8766605355061485,1.9363768271141957,1.9362404637938868,-0.059716291608047145,-0.0304533816052055,-0.00013636332030886322,0.05957992828773828
102.17391304347825,7.487686885170823,2.542981264851688,2.521460373951195,2.5804390543080253,2.580015062694452,-0.05897868035683018,-0.03745778945633749,-0.00042399161357353776,0.058554688743256644
