t_days,tau_days,S,C_BS,C_SH,C_DH,C_PINN
181.203007518797,548.796992481203,105.0,,,,13.575454887212452
181.27855711422848,548.7214428857715,105.0,13.503882151849549,13.609716241616558,13.573906548002123,
182.74048096192385,547.2595190380762,105.0,13.487679220092865,13.594067807858629,13.558045289764259,
183.01503759398497,546.984962406015,105.0,,,,13.555785221650368
184.20240480961925,545.7975951903808,105.0,13.471508287782125,13.578399545091285,13.542166662126554,
184.82706766917292,545.172932330827,105.0,,,,13.536088790027645
185.66432865731463,544.3356713426854,105.0,13.455688716684607,13.562711387862192,13.526270612593889,
186.6390977443609,543.3609022556391,105.0,,,,13.516365493479654
187.12625250501003,542.87374749499,105.0,13.439845733349532,13.547003270366554,13.510357088369858,
188.45112781954887,541.5488721804511,105.0,,,,13.496615232451008
188.58817635270543,541.4118236472946,105.0,13.423979236058004,13.53127512644421,13.494426036354044,
190.0501002004008,539.9498997995992,105.0,13.408089122349653,13.515526889576773,13.478477403139447,
190.26315789473685,539.7368421052631,105.0,,,,13.476837906688033
191.5120240480962,538.4879759519038,105.0,13.392175289015036,13.499758492884787,13.462511135009464,
192.0751879699248,537.9248120300751,105.0,,,,13.457033415230724
192.97394789579158,537.0260521042085,105.0,13.376237632088046,13.48396986912464,13.446527177935279,
193.88721804511277,536.1127819548872,105.0,,,,13.43720165640485
194.43587174348698,535.564128256513,105.0,13.360276046837996,13.468160950685684,13.430525477573056,
195.69924812030075,534.3007518796992,105.0,,,,13.417342527813751
195.8977955911824,534.1022044088177,105.0,13.344290427761837,13.452331669587233,13.414505979260868,
197.35971943887776,532.6402805611223,105.0,13.328280668576054,13.436481957475426,13.39846862801601,
197.51127819548873,532.4887218045112,105.0,,,,13.397455926330153
198.82164328657316,531.1783567134269,105.0,13.312246662208722,13.420611745620231,13.382413368531987,
199.32330827067668,530.6766917293234,105.0,,,,13.377541748087772
200.28356713426854,529.7164328657315,105.0,13.296188300791068,13.404720964912286,13.366340145175498,
201.13533834586465,528.8646616541354,105.0,,,,13.357599888472782
