case,model,bucket,price_RMSE,price_MAE,price_P95,price_max,forward_normalized_price_RMSE,IV_RMSE_volatility_points,IV_valid_quotes,quotes
FAST_SHOCK_representative_0,BS_TERM,medium,0.0009364419310080284,0.0006883399152004263,0.0018035443815408,0.0021276960502613074,0.0009364419310080284,4.098157561341127,212,213
FAST_SHOCK_representative_0,BS_TERM,long,0.0016329956579393139,0.0014816373422061064,0.002412137621125271,0.0025220464292113887,0.0016329956579393139,1.99893632451177,306,306
FAST_SHOCK_representative_0,BS_TERM,very_long,0.001445500705260136,0.0013156122995880617,0.0020385539826129834,0.0022324744514770067,0.001445500705260136,0.5083816980707663,152,152
FAST_SHOCK_representative_0,BS_TERM,ATM,0.00032387321890301027,0.00027713699003938135,0.0005968356874303525,0.0006302771012419717,0.00032387321890301027,0.24551389634663218,49,49
FAST_SHOCK_representative_0,BS_TERM,wing,0.0012002447958985051,0.0008346496743520298,0.0022161273479887056,0.0025220464292113887,0.0012002447958985051,3.821942897263131,553,659
FAST_SHOCK_representative_0,BS_TERM,K/F_0.70_0.90,0.0012546011644126711,0.0008674377979775383,0.0023618474383251932,0.0025220464292113887,0.0012546011644126711,4.116659415804083,289,329
FAST_SHOCK_representative_0,BS_TERM,K/F_0.90_0.98,0.0013537838849284735,0.001180969905081712,0.002246957999526527,0.002443210216772851,0.0013537838849284735,1.6693273094273078,132,132
FAST_SHOCK_representative_0,BS_TERM,K/F_0.98_1.02,0.00045720144676026666,0.00038153164993050395,0.0009037681890586569,0.0009416586721915365,0.00045720144676026666,0.3667458381338561,66,66
FAST_SHOCK_representative_0,BS_TERM,K/F_1.02_1.10,0.0009677787349219084,0.0008146674299462232,0.0017616672335492964,0.0019525406472656048,0.0009677787349219084,1.4160745617905923,132,132
FAST_SHOCK_representative_0,BS_TERM,K/F_1.10_1.30,0.0011489742703658606,0.0008125563857991876,0.002045080733349916,0.0021386285792967252,0.0011489742703658606,3.419058178984628,281,347
FAST_SHOCK_representative_0,BS_SELECTED,short,0.0003227838438220187,0.00016710095622651995,0.0007989610555844519,0.0011866478144392234,0.0003227838438220187,4.171037776268505,230,335
FAST_SHOCK_representative_0,BS_SELECTED,medium,0.0009364419310080284,0.0006883399152004263,0.0018035443815408,0.0021276960502613074,0.0009364419310080284,4.098157561341127,212,213
FAST_SHOCK_representative_0,BS_SELECTED,long,0.0016329956579393139,0.0014816373422061064,0.002412137621125271,0.0025220464292113887,0.0016329956579393139,1.99893632451177,306,306
FAST_SHOCK_representative_0,BS_SELECTED,very_long,0.001445500705260136,0.0013156122995880617,0.0020385539826129834,0.0022324744514770067,0.001445500705260136,0.5083816980707663,152,152
FAST_SHOCK_representative_0,BS_SELECTED,ATM,0.00032387321890301027,0.00027713699003938135,0.0005968356874303525,0.0006302771012419717,0.00032387321890301027,0.24551389634663218,49,49
FAST_SHOCK_representative_0,BS_SELECTED,wing,0.0012002447958985051,0.0008346496743520298,0.0022161273479887056,0.0025220464292113887,0.0012002447958985051,3.821942897263131,553,659
FAST_SHOCK_representative_0,BS_SELECTED,K/F_0.70_0.90,0.0012546011644126711,0.0008674377979775383,0.0023618474383251932,0.0025220464292113887,0.0012546011644126711,4.116659415804083,289,329
FAST_SHOCK_representative_0,BS_SELECTED,K/F_0.90_0.98,0.0013537838849284735,0.001180969905081712,0.002246957999526527,0.002443210216772851,0.0013537838849284735,1.6693273094273078,132,132
