split,index,check,x,K/F,tau_days,v_slow,v_fast,teacher,reference,abs_diff,reference_error,seconds
train,71132,accepted_vs_adaptive_1e-10,0.1382373020653202,0.8708920027519819,684.6405421428487,0.005616702173718954,0.005178233341164781,0.1948657611443606,0.1948657611443877,2.708944180085382e-14,,0.01749891699728323
train,83507,accepted_vs_adaptive_1e-10,0.14254013236626595,0.8671527527020446,440.6602892979837,0.025501385735381247,0.005267949448974402,0.19412369237082183,0.19412369237084837,2.653433028854124e-14,,0.013097625000227708
train,23707,accepted_vs_adaptive_1e-10,0.13929816960712604,0.8699685915889129,509.4202887793844,0.00036484243812951963,0.0012715500752318997,0.18269977956919692,0.18269977956922223,2.531308496145357e-14,,0.041391625003598165
train,32563,accepted_vs_adaptive_1e-10,0.053828164701353653,0.9475949227691565,448.46096492928297,0.0487013925010562,0.0016333276063010458,0.18560957077779405,0.18560957077782497,3.091971123581061e-14,,0.018209707995993085
train,33347,accepted_vs_adaptive_1e-10,0.07378060746678056,0.9288754598282789,625.0222618234643,0.001510247347671319,0.0010548227141878948,0.19839303478117448,0.19839303478120573,3.1252778143198157e-14,,0.02532950000022538
train,22164,accepted_vs_adaptive_1e-10,0.0818122819756974,0.921444914281213,478.9492813382998,0.09310356213479179,0.0013327374404813362,0.22554967294758105,0.22554967294761452,3.347322419244847e-14,,0.025981334001698997
train,89020,accepted_vs_adaptive_1e-10,0.10239335823579443,0.9026744074116007,526.5855483374849,0.0014881654044535298,0.035154035475011954,0.14205147994921252,0.14205147994923406,2.1538326677728037e-14,,0.035372166996239685
train,11468,accepted_vs_adaptive_1e-10,0.09979659140567432,0.9050214884633744,698.8111418862109,0.07032775501754775,0.016697912876758595,0.2446863401112251,0.24468634011125973,3.4638958368304884e-14,,0.026525499997660518
train,94889,accepted_vs_adaptive_1e-10,0.08591782052000047,0.9176696417354793,487.5343952879563,0.0053531985691166245,0.1098401511745356,0.19941703928262378,0.19941703928265453,3.0753177782116836e-14,,0.02208995800174307
train,45115,accepted_vs_adaptive_1e-10,0.039186606871416896,0.9615712565995098,729.7724257933008,0.005039357733475321,0.022081555102497357,0.17438930343570408,0.17438930343573494,3.086420008457935e-14,,0.018641916998603847
