case_id,arm,start_index,start_strategy,optimizer_success,nfev,price_rmse_normalized,parameter_rmse_full_range,constraint_valid,bound_hit,runtime_seconds
case_3,polish,5,polish_5,True,431,6.209028158382743e-10,0.00017898712922784763,True,False,9.907423666008981
case_3,polish,6,polish_6,True,9,2.4568414019846725e-06,0.22981178864567584,True,True,0.08530745899770409
case_3,polish,7,polish_7,True,193,1.4215653693958404e-09,0.00041158534641910375,True,False,4.352272541989805
case_3,polish,8,polish_8,True,669,4.615599971001211e-10,0.00013317948559754523,True,False,14.542111290997127
case_3,polish,9,polish_9,True,1,7.347634072217416e-06,0.3233089869820624,True,True,0.025265916978241876
case_3,polish,10,polish_10,True,1,7.3476344959227865e-06,0.32330950440139156,True,True,0.02625549997901544
case_3,polish,11,polish_11,True,1,7.347634656687835e-06,0.3233096974445581,True,True,0.02549058399745263
case_3,prior_ranges,0,midpoint,False,120,0.0027757993607045064,0.24626364869523915,True,True,2.813597625005059
case_3,prior_ranges,1,broad_1,False,120,0.002775767162560434,0.24674886899141574,True,True,2.8094539580051787
case_3,prior_ranges,2,broad_2,False,120,0.002775767718963439,0.24660905262650096,True,True,2.8273950000002515
case_3,prior_ranges,3,broad_3,False,120,0.0027757007014313825,0.24675688977669133,True,True,2.800742583000101
case_3,prior_ranges,4,broad_4,True,16,0.002778705711013496,0.23892618286529513,True,True,0.37857270799577236
case_3,prior_ranges,5,broad_5,False,120,0.002775632478223254,0.24693317838908513,True,True,2.764983332977863
case_3,prior_ranges,6,broad_6,False,120,0.0027757082695674114,0.24683599488560073,True,True,2.7532874159805942
case_3,prior_ranges,7,broad_7,True,11,0.0027787051153475404,0.23892651085700586,True,True,0.26006883298396133
case_3,prior_ranges,8,broad_8,True,9,0.0027787062447076796,0.23892564499438967,True,True,0.21454575000097975
case_3,prior_ranges,9,broad_9,False,120,0.002775777671011696,0.2468135324142846,True,True,2.7899102919909637
case_3,prior_ranges,10,broad_10,False,120,0.002775746343076806,0.24659207308312775,True,True,2.7757660839997698
case_3,prior_ranges,11,broad_11,True,13,0.0027787054374355923,0.2389263984714356,True,True,0.31054012500680983
case_4,baseline,0,midpoint,True,64,7.548564617696327e-12,8.77432220786992e-10,True,False,1.2613400830014143
