source,group,case,direct_passes,canonical_passes,permutation_passes,permutation_swapped,permutation_tolerance_rmse
outputs/deeper_pinn/recovery_noise_910831/fits.json,11-layer Double Heston + GLS|rich|directory,19,1,1,1,False,17.981626896030654
outputs/deeper_pinn/recovery_noise_910831/fits.json,11-layer Double Heston + GLS|rich|directory,20,1,1,1,False,6.662128597679021
outputs/deeper_pinn/recovery_noise_910831/fits.json,11-layer Double Heston + GLS|rich|directory,21,4,4,4,False,9.238882786007338
outputs/deeper_pinn/recovery_noise_910831/fits.json,11-layer Double Heston + GLS|rich|directory,22,0,0,0,False,22.952859792638083
outputs/deeper_pinn/recovery_noise_910831/fits.json,11-layer Double Heston + GLS|rich|directory,23,0,0,0,False,22.616033736950882
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston + GLS|rich|directory,0,3,3,3,False,7.037690313043908
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston + GLS|rich|directory,1,0,0,0,False,19.25731239769766
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston + GLS|rich|directory,2,2,2,2,False,3.4964917061522427
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston + GLS|rich|directory,3,4,4,4,False,6.45796230573511
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston + GLS|rich|directory,4,2,2,2,False,6.724357539082373
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston + GLS|rich|directory,5,2,2,2,False,9.361125859052523
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston + GLS|rich|directory,6,1,1,1,False,13.940366497926552
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston + GLS|rich|directory,7,4,4,4,False,2.2318019267029348
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston + GLS|rich|directory,8,0,0,0,False,9.00713892982935
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston + GLS|rich|directory,9,4,4,4,False,3.9454737547642913
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston + GLS|rich|directory,10,0,0,0,False,40.65619389440919
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston + GLS|rich|directory,11,1,1,1,False,20.15143945199464
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston + GLS|rich|directory,12,1,1,1,False,7.6671446807834425
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston + GLS|rich|directory,13,4,4,4,False,2.471346388739576
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston + GLS|rich|directory,14,0,0,2,True,11.743420051572844
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston + GLS|rich|directory,15,1,1,1,False,6.700313383880115
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston + GLS|rich|directory,16,1,1,1,False,5.862432748085677
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston + GLS|rich|directory,17,1,1,1,False,6.370497960861296
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston + GLS|rich|directory,18,2,2,2,False,2.281050351477292
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston + GLS|rich|directory,19,1,1,1,False,36.7053182842869
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston + GLS|rich|directory,20,0,0,0,False,9.849723667699267
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston + GLS|rich|directory,21,4,4,4,False,9.379888895072952
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston + GLS|rich|directory,22,0,0,0,False,8.628459289025502
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston + GLS|rich|directory,23,1,1,1,False,23.296868308699302
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,double_sobolev_s17|rich|directory,0,1,1,1,False,19.959799231106466
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,double_sobolev_s17|rich|directory,1,5,5,5,False,2.861174214539793
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,double_sobolev_s17|rich|directory,2,1,1,1,False,13.383850786707326
